nsubj,correct_root,wrong_root,original_sentence,masked_sentence,bert_large_uncase,bert_base_uncase,SL,SVD,All_NN_BEF,NV_BEF,SL_BEF,Attractor,NEAR_NVD,Attractor%,
source,comes,come,"currently , the source of internships and projects primarily comes from the companies , in which imba and emba ( executive mba ) students are working .","currently , the source of internships and projects primarily [MASK] from the companies , in which imba and emba ( executive mba ) students are working .",comes,come,27,6,2,0,9,2,2,,sg
use,seems,seem,general use in lists within articles seems unwise .,general use in lists within articles [MASK] unwise .,seems,seems,9,5,2,0,6,2,1,,sg
design,becomes,become,"when the triptych 's wings are closed , the design of the outer panels becomes visible .","when the triptych 's wings are closed , the design of the outer panels [MASK] visible .",become,become,17,5,3,0,14,2,1,,sg
framework,lays,lay,"the proposed framework of planetary boundaries lays the groundwork for shifting approach to governance and management , away from the essentially sectoral analyses of limits to growth aimed at minimizing negative externalities , toward the estimation of the safe space for human development .","the proposed framework of planetary boundaries [MASK] the groundwork for shifting approach to governance and management , away from the essentially sectoral analyses of limits to growth aimed at minimizing negative externalities , toward the estimation of the safe space for human development .",lays,lays,44,4,1,1,6,1,1,,sg
stock,consists,consist,"the stock of books consists of more than 350 000 copies , published in belarus and abroad since the 19th century .","the stock of books [MASK] of more than 350 000 copies , published in belarus and abroad since the 19th century .",consists,consists,22,3,1,0,4,1,1,,sg
combination,figures,figure,they would contend that the combination of institutional and individuals figures gives an incomplete and biased count of fatalities during the famine .,they would contend that the combination of institutional and individuals [MASK] gives an incomplete and biased count of fatalities during the famine .,figures,figures,23,5,1,1,10,1,1,,sg
night,becomes,become,"night of the hunter [ though in some episodes , according to amy sedaris , the luck sometimes becomes fuck ] ) .","night of the hunter [ though in some episodes , according to amy sedaris , the luck sometimes [MASK] fuck ] ) .",becomes,becomes,23,18,3,1,18,1,10,,sg
lack,makes,make,the lack of interfaces between crosscutting concerns and other modules makes it hard to represent and reason about the overall architecture of a system .,the lack of interfaces between crosscutting concerns and other modules [MASK] it hard to represent and reason about the overall architecture of a system .,make,make,25,9,3,1,10,3,1,,sg
class,consists,consist,"a more general class of sets consists of the recursively enumerable sets , also called semidecidable sets .","a more general class of sets [MASK] of the recursively enumerable sets , also called semidecidable sets .",consists,consists,18,3,1,0,6,1,1,,sg
appearance,appears,appear,grace 's appearance in the comics appears to have been separately negotiated .,grace 's appearance in the comics [MASK] to have been separately negotiated .,appears,appears,13,4,1,0,6,1,1,,sg
banner,covers,cover,"taskforce 's banner on articles from relevant categories , so aalertbot covers more articles .","taskforce 's banner on articles from relevant categories , so aalertbot [MASK] more articles .",cover,cover,15,9,3,0,11,2,4,,sg
law,allows,allow,the law in most places allows senior citizens to keep on driving provided they meet the same requirements as younger adults .,the law in most places [MASK] senior citizens to keep on driving provided they meet the same requirements as younger adults .,allows,allows,22,4,1,0,5,1,1,,sg
coat,shows,show,"the coat of arms shows a white horse ( saxon steed ) on red ground , which is an old symbol of the saxon people .","the coat of arms [MASK] a white horse ( saxon steed ) on red ground , which is an old symbol of the saxon people .",shows,shows,26,3,1,0,4,1,1,,sg
search,gets,get,a google search for ' nimbus terrafaux -wikipedia gets 25 unique hits .,a google search for ' nimbus terrafaux -wikipedia [MASK] 25 unique hits .,get,get,13,6,1,0,8,0,none,,sg
wikilink,makes,make,and of course a wikilink to peculiarities of makes no sense at all .,and of course a wikilink to peculiarities of [MASK] no sense at all .,makes,makes,14,4,2,0,8,1,2,,sg
coat,depicts,depict,"the municipality 's coat of arms depicts a salmon , of which there are plenty in the river .","the municipality 's coat of arms [MASK] a salmon , of which there are plenty in the river .",depict,depicts,19,3,2,0,6,1,1,,sg
family,exists,exist,a family of variants exists many of which have been adopted by police or military forces .,a family of variants [MASK] many of which have been adopted by police or military forces .,exist,exist,17,3,1,0,4,1,1,,sg
set,forms,form,the set of subsets forms a lattice ( and is also a boolean algebra in the finite dimensional case ) .,the set of subsets [MASK] a lattice ( and is also a boolean algebra in the finite dimensional case ) .,form,forms,21,3,1,0,4,1,1,,sg
meeting,exercises,exercise,the community meeting of the enfranchised voters exercises legislative power .,the community meeting of the enfranchised voters [MASK] legislative power .,exercises,exercises,11,5,2,1,7,1,1,,sg
collection,includes,include,"this collection of photographs includes more than 25 , 000 glass negatives and transparencies along with some 300 color photolithograph prints , mostly of the eastern united states .","this collection of photographs [MASK] more than 25 , 000 glass negatives and transparencies along with some 300 color photolithograph prints , mostly of the eastern united states .",includes,includes,29,3,1,0,4,1,1,,sg
series,goes,go,"heechee series , where the search for heechee artifacts and the heechee themselves goes deeper and deeper into space , and meanwhile human-settled venus has become a sovereign state and a major power .","heechee series , where the search for heechee artifacts and the heechee themselves [MASK] deeper and deeper into space , and meanwhile human-settled venus has become a sovereign state and a major power .",go,go,34,12,5,0,13,1,5,,sg
